genero;pais;edad;hogar;estudios;empleo;conocermoocs;moocsrealizados;moocstrabajo;moocquierocontactos;moocquierocompartir;moocquieropersonas;moocquieroorganizaciones;moocquierootro;activo;potencialmdperiodicos;potencialmdtele;potencialmdradio;potencialmdredes;potencialmdinternet;perfilperiodicos;perfiltelevision;perfilradio;perfilredes;perfilinternet;potencialmooc;potencialeducformal;potencialeducfamiliar;edadeducaccion;valorainteligencia;valoraentusiasmo;valorainiciativas;valoradifusion;valoraconectar
Femenino;España;32;Otro;Estudios superiores;asalariado;Navegaba por la red y por casualidad los encontré;0;ninguno de ellos;No;No;No;Sí;0;5;5;5;5;5;5;Colaborador;Colaborador;Colaborador;Colaborador;Colaborador;5;5;5;10-20 años;5;5;5;5;5
Femenino;Brasil;62;convivencia en pareja;Master;Otro;Leí sobre MOOCs en revistas y publicaciones especializadas;1;ninguno de ellos;Sí;Sí;Sí;Sí;0;5;4;5;5;5;5;Consumidor;Consumidor;Colaborador;Colaborador;Colaborador;5;5;5;10-20 años;5;5;5;5;4
Masculino;Brasil;39;convivencia en pareja;Master;asalariado;Alguien que conozco me recomendó probar los MOOCs;10;cerca de la mitad de ellos;No;No;Sí;No;0;5;5;5;4;5;5;Productor;Productor;Colaborador;Consumidor;Consumidor;5;5;5;10-20 años;3;5;5;5;5
Femenino;Argentina;47;vivo solo;Estudios superiores;autónomo;Alguien que conozco me recomendó probar los MOOCs;0;ninguno de ellos;No;No;Sí;Sí;0;5;5;5;5;5;5;Consumidor;Consumidor;Consumidor;Colaborador;Colaborador;5;5;5;0-10 años;5;5;5;4;5
Masculino;España;49;convivencia en pareja;Diplomado;desempleado y en búsqueda de empleo;Otro;0;ninguno de ellos;Sí;Sí;Sí;Sí;Aprender;5;4;4;4;5;5;Consumidor;Consumidor;Consumidor;Colaborador;Colaborador;5;5;5;10-20 años;4;4;4;4;4
Masculino;España;30;convivencia con compañeros de piso;Master;desempleado y en búsqueda de empleo;Navegaba por la red con la intención de encontrar cursos en línea y me los encontré;0;ninguno de ellos;No;No;Sí;Sí;0;5;4;5;3;5;5;Consumidor;Consumidor;Consumidor;Consumidor;Consumidor;4;5;5;0-10 años;4;4;4;4;4
Femenino;Brasil;37;convivencia con compañeros de piso;Master;estudiante;Alguien que conozco me recomendó probar los MOOCs;0;todos ellos;No;No;Sí;No;0;5;4;4;4;4;4;Consumidor;Consumidor;Consumidor;Colaborador;Colaborador;5;5;5;Mayor de 30 años;5;5;5;5;4
Femenino;España;27;vivo solo;Estudios superiores;estudiante;Mi universidad los ofrece;0;todos ellos;Sí;Sí;Sí;Sí;0;5;1;5;3;5;5;Consumidor;Consumidor;Consumidor;Colaborador;Colaborador;2;1;1;0-10 años;5;5;5;5;5
Femenino;España;26;convivencia en pareja;Universitario;asalariado;Alguien que conozco me recomendó probar los MOOCs;1;ninguno de ellos;Sí;No;No;No;0;5;4;4;4;5;4;Consumidor;Consumidor;Consumidor;Productor;Colaborador;5;5;5;0-10 años;4;4;4;4;4
Masculino;España;44;convivencia en pareja;Estudios superiores;desempleado y en búsqueda de empleo;Alguien que conozco me recomendó probar los MOOCs;0;ninguno de ellos;No;No;No;Sí;0;5;5;4;5;5;5;Consumidor;Consumidor;Consumidor;Consumidor;Consumidor;5;5;5;0-10 años;5;5;5;5;5
Masculino;España;26;vivo con mis padres;Master;asalariado;Alguien que conozco me recomendó probar los MOOCs;0;ninguno de ellos;Sí;Sí;Sí;Sí;0;5;4;5;4;5;5;Consumidor;Consumidor;Consumidor;Consumidor;Consumidor;4;5;5;0-10 años;5;5;4;4;5
Masculino;España;32;convivencia en pareja;Master;asalariado;Navegaba por la red con la intención de encontrar cursos en línea y me los encontré;0;ninguno de ellos;No;No;Sí;No;0;5;5;5;5;5;5;Consumidor;Consumidor;Consumidor;Consumidor;Consumidor;5;5;5;0-10 años;5;5;5;5;5
Femenino;Brasil ;37;vivo solo;Universitario;estudiante;Alguien que conozco me recomendó probar los MOOCs;0;todos ellos;No;No;No;Sí;0;5;5;3;3;5;5;Consumidor;Consumidor;Consumidor;Consumidor;Consumidor;5;5;5;10-20 años;5;5;5;5;5
Masculino;Perú;56;convivencia en pareja;Otro;desempleado y en búsqueda de empleo;Otro;2;todos ellos;Sí;Sí;Sí;Sí;0;5;4;5;4;4;5;Consumidor;Consumidor;Consumidor;Productor;Consumidor;5;5;5;0-10 años;4;5;5;5;5
Femenino;España;71;convivencia en pareja;Diplomado;Otro;Navegaba por la red y por casualidad los encontré;0;ninguno de ellos;Sí;Sí;Sí;Sí;0;5;5;5;5;5;5;Consumidor;Consumidor;Consumidor;Colaborador;Consumidor;5;5;5;0-10 años;5;5;5;5;5
Masculino;España;47;convivencia en pareja;Master;asalariado;Alguien que conozco me recomendó probar los MOOCs;0;ninguno de ellos;Sí;Sí;No;Sí;0;5;3;5;4;5;5;Consumidor;Consumidor;Consumidor;Colaborador;Consumidor;5;5;5;10-20 años;5;5;5;5;5
Masculino;El Salvador;38;convivencia en pareja;Universitario;asalariado;El MOOC era parte de los cursos que realizaba;3;todos ellos;No;No;Sí;Sí;0;5;5;5;5;5;5;Consumidor;Consumidor;Consumidor;Productor;Consumidor;5;5;5;0-10 años;4;4;5;4;5
Masculino;España;26;convivencia en pareja;Estudios medios;desempleado y en búsqueda de empleo;Alguien que conozco me recomendó probar los MOOCs;0;ninguno de ellos;No;No;Sí;No;0;5;5;5;5;4;4;Consumidor;Consumidor;Consumidor;Productor;Colaborador;4;5;5;10-20 años;5;4;5;5;4
Masculino;Chile;37;vivo solo;Master;autónomo;Alguno de mis compañeros de trabajo estaban realizando un MOOC;0;ninguno de ellos;No;No;Sí;No;0;5;4;3;4;4;4;Consumidor;Consumidor;Consumidor;Colaborador;Colaborador;5;5;5;10-20 años;1;1;1;1;1
Femenino;España;43;convivencia en pareja;Master;asalariado;Leí sobre MOOCs en revistas y publicaciones especializadas;2;todos ellos;No;No;No;Sí;0;5;3;5;4;5;5;Consumidor;Consumidor;Consumidor;Consumidor;Colaborador;4;5;5;0-10 años;4;4;4;5;5
Femenino;España;27;convivencia con compañeros de piso;Doctorado;asalariado;El MOOC era parte de los cursos que realizaba;1;todos ellos;Sí;No;No;No;0;5;5;5;5;5;5;Colaborador;Colaborador;Consumidor;Productor;Productor;3;5;5;0-10 años;4;4;4;5;4
Femenino;España;37;vivo con mis padres;Master;desempleado y en búsqueda de empleo;Navegaba por la red y por casualidad los encontré;2;todos ellos;Sí;Sí;Sí;Sí;0;5;4;5;3;5;4;Consumidor;Consumidor;Consumidor;Colaborador;Colaborador;5;5;4;0-10 años;5;5;4;3;5
Femenino;Venezuela;31;vivo con mis padres;Master;desempleado y en búsqueda de empleo;Otro;0;ninguno de ellos;No;No;No;Sí;0;5;5;5;5;5;5;Consumidor;Productor;Productor;Colaborador;Colaborador;5;5;5;0-10 años;5;5;5;5;5
Masculino;Brasil;48;convivencia con compañeros de piso;Estudios superiores;autónomo;Navegaba por la red con la intención de encontrar cursos en línea y me los encontré;3;todos ellos;No;No;No;Sí;0;5;1;1;1;1;1;Consumidor;Consumidor;Consumidor;Colaborador;Colaborador;5;5;5;10-20 años;1;1;1;1;1
Femenino;Perú;18;vivo con mis padres;Estudios superiores;estudiante;Alguien que conozco me recomendó probar los MOOCs;0;ninguno de ellos;No;No;No;Sí;0;5;5;5;3;5;4;Colaborador;Productor;Colaborador;Consumidor;Consumidor;5;5;4;10-20 años;1;2;2;2;2
Femenino;Panamá;24;vivo con mis padres;Universitario;desempleado y en búsqueda de empleo;Alguien que conozco me recomendó probar los MOOCs;0;ninguno de ellos;No;No;Sí;No;0;5;2;5;4;5;5;Colaborador;Colaborador;Productor;Productor;Productor;5;5;5;0-10 años;5;5;5;5;5
Masculino;Brasil;56;convivencia en pareja;Estudios superiores;asalariado;Otro;0;ninguno de ellos;No;No;Sí;Sí;0;5;5;5;5;5;5;Consumidor;Consumidor;Consumidor;Consumidor;Consumidor;5;5;5;0-10 años;5;4;4;5;4
Masculino;Chile;32;convivencia en pareja;Diplomado;asalariado;Navegaba por la red y por casualidad los encontré;0;ninguno de ellos;Sí;Sí;No;No;0;5;4;5;3;5;4;Colaborador;Consumidor;Consumidor;Colaborador;Colaborador;4;5;5;10-20 años;4;4;4;4;4
Femenino;Estados Unidos;22;vivo con mis padres;Diplomado;estudiante;Navegaba por la red y por casualidad los encontré;0;ninguno de ellos;Sí;Sí;Sí;Sí;0;5;4;5;4;5;4;Colaborador;Consumidor;Productor;Consumidor;Colaborador;5;5;5;10-20 años;5;5;5;5;5
Femenino;Brasil;39;vivo con mis padres;Doctorado;desempleado y en búsqueda de empleo;Navegaba por la red con la intención de encontrar cursos en línea y me los encontré;0;todos ellos;Sí;No;Sí;No;0;5;5;2;2;5;5;Colaborador;Consumidor;Consumidor;Colaborador;Colaborador;5;5;5;10-20 años;5;5;5;5;5
Femenino;Uruguay;56;Otro;Universitario;autónomo;Alguien que conozco me recomendó probar los MOOCs;2;todos ellos;Sí;Sí;No;Sí;0;5;4;3;4;5;4;Consumidor;Colaborador;Colaborador;Productor;Colaborador;4;5;5;0-10 años;5;5;4;5;5
Femenino;Panamá;33;convivencia en pareja;Universitario;asalariado;Alguien que conozco me recomendó probar los MOOCs;0;ninguno de ellos;No;Sí;Sí;No;0;5;3;4;3;5;4;Consumidor;Consumidor;Consumidor;Consumidor;Consumidor;5;5;5;0-10 años;4;4;4;4;4
Masculino;Ecuador;48;convivencia en pareja;Master;autónomo;Navegaba por la red con la intención de encontrar cursos en línea y me los encontré;0;ninguno de ellos;Sí;Sí;Sí;Sí;0;5;5;4;4;4;5;Consumidor;Consumidor;Consumidor;Consumidor;Consumidor;5;5;5;10-20 años;5;4;5;5;5
Femenino;Colombia;23;vivo con mis padres;Universitario;estudiante;Otro;0;ninguno de ellos;No;No;No;Sí;0;5;5;3;5;5;5;Consumidor;Consumidor;Consumidor;Consumidor;Colaborador;5;5;5;0-10 años;5;5;5;5;5
Masculino;Venezuela;43;Otro;Master;asalariado;Alguien que conozco me recomendó probar los MOOCs;2;todos ellos;Sí;Sí;Sí;Sí;0;5;4;5;4;3;3;Consumidor;Consumidor;Consumidor;Consumidor;Consumidor;4;5;5;0-10 años;4;3;4;5;3
Femenino;Uruguay;30;vivo con mis padres;Universitario;asalariado;Navegaba por la red con la intención de encontrar cursos en línea y me los encontré;0;ninguno de ellos;No;No;Sí;No;0;5;5;5;5;5;5;Consumidor;Consumidor;Consumidor;Productor;Productor;5;5;5;10-20 años;1;1;1;1;1
Masculino;Panamá;56;convivencia en pareja;Master;asalariado;Otro;0;ninguno de ellos;Sí;Sí;Sí;Sí;0;5;3;5;5;4;3;Colaborador;Colaborador;Colaborador;Consumidor;Colaborador;5;5;5;20-30 años;5;5;5;5;5
Femenino;Brasil ;39;convivencia en pareja;Master;autónomo;Navegaba por la red y por casualidad los encontré;0;ninguno de ellos;No;No;Sí;Sí;0;5;4;4;4;4;4;Colaborador;Consumidor;Consumidor;Colaborador;Colaborador;5;5;5;0-10 años;5;5;5;5;5
Femenino;España;40;convivencia en pareja;Master;asalariado;Leí sobre MOOCs en revistas y publicaciones especializadas;0;ninguno de ellos;Sí;Sí;Sí;Sí;0;5;4;4;4;4;4;Consumidor;Consumidor;Consumidor;Productor;Colaborador;4;5;5;10-20 años;4;4;4;4;4
Masculino;Panamá;28;convivencia en pareja;Diplomado;asalariado;Alguien que conozco me recomendó probar los MOOCs;0;ninguno de ellos;Sí;No;No;No;0;5;5;5;5;5;5;Consumidor;Consumidor;Consumidor;Consumidor;Consumidor;5;5;5;0-10 años;4;4;4;4;4
Masculino;España;28;vivo con mis padres;Master;desempleado y en búsqueda de empleo;Navegaba por la red y por casualidad los encontré;0;ninguno de ellos;Sí;No;Sí;Sí;0;5;4;5;4;5;5;Consumidor;Consumidor;Consumidor;Colaborador;Consumidor;5;5;5;0-10 años;4;4;4;5;4
Masculino;Brasil;28;vivo con mis padres;Estudios medios;asalariado;El MOOC era parte de los cursos que realizaba;0;ninguno de ellos;No;No;Sí;No;0;5;4;5;4;5;5;Consumidor;Consumidor;Consumidor;Colaborador;Colaborador;5;5;5;0-10 años;4;2;4;4;4
Femenino;Panamá;26;convivencia en pareja;Master;asalariado;Alguien que conozco me recomendó probar los MOOCs;3;ninguno de ellos;No;No;No;Sí;0;5;5;4;4;5;5;Consumidor;Consumidor;Consumidor;Consumidor;Consumidor;5;5;5;0-10 años;5;4;4;4;4
Masculino;España;41;convivencia en pareja;Universitario;asalariado;Alguien que conozco me recomendó probar los MOOCs;0;ninguno de ellos;Sí;No;Sí;Sí;0;5;3;5;3;5;4;Consumidor;Consumidor;Colaborador;Colaborador;Colaborador;4;5;5;0-10 años;4;4;4;4;4
Masculino;Ecuador;50;vivo con mis padres;Universitario;asalariado;Alguien que conozco me recomendó probar los MOOCs;0;ninguno de ellos;No;No;No;Sí;0;5;4;4;5;5;5;Consumidor;Consumidor;Consumidor;Consumidor;Consumidor;5;5;5;0-10 años;4;4;4;4;4
Femenino;México;21;vivo con mis padres;Universitario;estudiante;Alguien que conozco me recomendó probar los MOOCs;1;ninguno de ellos;No;Sí;No;No;0;5;3;3;3;4;4;Consumidor;Consumidor;Consumidor;Consumidor;Consumidor;4;4;4;10-20 años;3;3;4;3;3
Masculino;Colombia;44;convivencia en pareja;Master;asalariado;Alguien que conozco me recomendó probar los MOOCs;1;cerca de tres cuartos de ellos;No;No;Sí;No;0;5;5;5;5;5;5;Colaborador;Consumidor;Consumidor;Consumidor;Consumidor;5;5;5;0-10 años;5;5;5;5;5
Femenino;España;27;convivencia en pareja;Master;desempleado y en búsqueda de empleo;Alguien que conozco me recomendó probar los MOOCs;0;ninguno de ellos;Sí;Sí;Sí;Sí;0;5;5;5;3;5;5;Consumidor;Consumidor;Consumidor;Consumidor;Consumidor;5;5;5;0-10 años;3;5;4;5;5
Femenino;España;20;convivencia con compañeros de piso;Estudios superiores;estudiante;Otro;0;ninguno de ellos;Sí;Sí;Sí;Sí;0;5;5;5;3;5;5;Colaborador;Productor;Productor;Colaborador;Consumidor;5;5;5;0-10 años;4;4;4;4;4
Femenino;Portugal;22;vivo con mis padres;Diplomado;estudiante;Alguien que conozco me recomendó probar los MOOCs;0;ninguno de ellos;No;No;No;Sí;0;5;5;5;5;5;5;Consumidor;Consumidor;Consumidor;Colaborador;Consumidor;5;5;5;10-20 años;5;5;5;5;5
Femenino;Bolivia;23;vivo con mis padres;Universitario;estudiante;Navegaba por la red con la intención de encontrar cursos en línea y me los encontré;0;cerca de la mitad de ellos;No;No;No;Sí;0;5;4;3;2;5;5;Consumidor;Productor;Consumidor;Colaborador;Colaborador;5;5;5;0-10 años;4;5;5;4;5
Femenino;Bolivia;33;convivencia en pareja;Diplomado;desempleado pero no en búsqueda activa de empleo;Otro;0;ninguno de ellos;No;No;No;Sí;0;5;5;5;4;5;5;Consumidor;Consumidor;Consumidor;Colaborador;Consumidor;5;5;5;0-10 años;5;5;5;5;5
Femenino;Colombia;25;vivo solo;Universitario;asalariado;Navegaba por la red y por casualidad los encontré;15;cerca de un cuarto de ellos;Sí;Sí;Sí;No;0;5;5;5;2;5;5;Consumidor;Consumidor;Consumidor;Productor;Productor;5;5;5;10-20 años;4;4;4;4;4
Femenino;España;36;convivencia en pareja;Master;autónomo;Mi universidad los ofrece;8;cerca de la mitad de ellos;Sí;Sí;Sí;Sí;0;5;5;5;5;5;5;Consumidor;Consumidor;Consumidor;Productor;Colaborador;4;5;5;10-20 años;4;5;4;5;5
Femenino;Perú;25;vivo con mis padres;Universitario;estudiante;Me encontré en una situación en la que se hablaba de los MOOCs;0;ninguno de ellos;No;No;No;No;aprender de la problemática ambiental marina;5;5;5;4;5;5;Consumidor;Consumidor;Consumidor;Consumidor;Consumidor;5;5;5;20-30 años;5;5;2;5;5
Masculino;Chile;35;convivencia en pareja;Doctorado;asalariado;Alguien que conozco me recomendó probar los MOOCs;0;ninguno de ellos;Sí;Sí;Sí;Sí;0;5;4;5;3;5;4;Consumidor;Consumidor;Consumidor;Colaborador;Colaborador;5;4;4;10-20 años;5;5;5;5;5
Masculino;Perú;31;Otro;Universitario;asalariado;Alguien que conozco me recomendó probar los MOOCs;0;todos ellos;Sí;Sí;No;No;0;5;5;5;5;5;5;Consumidor;Consumidor;Consumidor;Consumidor;Consumidor;5;5;5;0-10 años;1;1;1;1;1
Femenino;Costa Rica;20;convivencia con compañeros de piso;Estudios superiores;estudiante;Navegaba por la red y por casualidad los encontré;0;todos ellos;No;Sí;Sí;No;0;5;2;2;2;2;2;Consumidor;Consumidor;Consumidor;Colaborador;Productor;5;5;5;0-10 años;5;5;5;5;5
Masculino;Brasil;43;convivencia en pareja;Doctorado;autónomo;Alguien que conozco me recomendó probar los MOOCs;2;cerca de la mitad de ellos;Sí;Sí;Sí;Sí;0;5;5;5;5;5;5;Colaborador;Consumidor;Consumidor;Productor;Productor;5;5;5;10-20 años;5;5;5;5;5
Femenino;Bolivia;23;vivo con mis padres;Universitario;estudiante;Navegaba por la red con la intención de encontrar cursos en línea y me los encontré;0;cerca de la mitad de ellos;No;No;No;Sí;0;5;4;4;2;5;5;Consumidor;Productor;Consumidor;Colaborador;Colaborador;5;5;5;0-10 años;4;5;5;5;5
Femenino;Perú;21;vivo con mis padres;Universitario;estudiante;Alguien que conozco me recomendó probar los MOOCs;0;ninguno de ellos;No;No;No;Sí;0;5;4;3;5;5;5;Consumidor;Consumidor;Colaborador;Colaborador;Colaborador;5;5;5;10-20 años;1;1;1;1;1
Masculino;México;29;convivencia en pareja;Universitario;autónomo;Alguien que conozco me recomendó probar los MOOCs;3;todos ellos;No;No;No;Sí;0;5;3;4;4;5;5;Consumidor;Consumidor;Consumidor;Productor;Colaborador;5;5;5;20-30 años;5;5;5;5;5
Masculino;Brasil;38;convivencia en pareja;Universitario;asalariado;Alguien que conozco me recomendó probar los MOOCs;1;todos ellos;Sí;Sí;Sí;Sí;0;5;5;5;5;5;5;Colaborador;Consumidor;Consumidor;Colaborador;Colaborador;5;5;5;10-20 años;3;4;5;5;5
Femenino;Brasil;21;vivo con mis padres;Universitario;estudiante;Leí sobre MOOCs en revistas y publicaciones especializadas;0;todos ellos;Sí;No;No;No;0;5;5;5;5;5;5;Colaborador;Colaborador;Colaborador;Colaborador;Colaborador;5;5;5;10-20 años;4;4;4;4;4
Femenino;España;29;convivencia con compañeros de piso;Master;Otro;Alguien que conozco me recomendó probar los MOOCs;6;ninguno de ellos;No;Sí;No;No;0;5;3;4;3;5;5;Colaborador;Colaborador;Colaborador;Consumidor;Consumidor;5;5;5;10-20 años;5;4;5;5;5
Femenino;Colombia;27;convivencia en pareja;Master;asalariado;Navegaba por la red y por casualidad los encontré;0;ninguno de ellos;Sí;Sí;Sí;Sí;0;5;5;5;5;5;3;Productor;Productor;Productor;Consumidor;Productor;5;5;5;20-30 años;5;5;5;5;5
Femenino;México;27;vivo con mis padres;Master;desempleado y en búsqueda de empleo;Navegaba por la red y por casualidad los encontré;3;cerca de la mitad de ellos;No;No;Sí;Sí;0;5;5;5;5;5;5;Consumidor;Consumidor;Consumidor;Consumidor;Consumidor;5;5;5;10-20 años;2;2;4;5;5
Femenino;Perú;24;vivo con mis padres;Universitario;estudiante;Navegaba por la red con la intención de encontrar cursos en línea y me los encontré;0;ninguno de ellos;No;No;No;No;compartir conocimientos;5;5;5;5;5;5;Consumidor;Consumidor;Consumidor;Colaborador;Productor;5;5;5;10-20 años;5;5;4;5;5
Femenino;Perú;44;vivo solo;Universitario;Otro;Navegaba por la red y por casualidad los encontré;0;ninguno de ellos;Sí;Sí;Sí;Sí;0;5;3;3;3;3;3;Consumidor;Consumidor;Consumidor;Colaborador;Colaborador;3;5;5;0-10 años;5;4;4;4;4
Femenino;Perú;39;convivencia en pareja;Master;desempleado pero no en búsqueda activa de empleo;Navegaba por la red y por casualidad los encontré;3;cerca de la mitad de ellos;No;No;No;Sí;0;5;3;3;3;4;5;Productor;Productor;Colaborador;Consumidor;Consumidor;5;5;5;10-20 años;5;5;5;5;5
Masculino;Chile;36;vivo con mis padres;Master;asalariado;Navegaba por la red y por casualidad los encontré;0;ninguno de ellos;Sí;Sí;Sí;Sí;0;5;3;2;2;5;5;Consumidor;Consumidor;Consumidor;Colaborador;Colaborador;5;5;5;0-10 años;5;3;5;5;5
Femenino;Chile;26;vivo con mis padres;Universitario;asalariado;Navegaba por la red y por casualidad los encontré;0;ninguno de ellos;No;No;No;No;adquirir nuevas herramientas para mis propios conocimientos y compartir lo que ya poseo ;5;4;5;4;5;4;Colaborador;Productor;Productor;Colaborador;Colaborador;5;5;5;10-20 años;4;5;4;5;5
Femenino;Argentina;49;convivencia en pareja;Estudios superiores;asalariado;Alguien que conozco me recomendó probar los MOOCs;0;todos ellos;No;No;No;Sí;0;5;4;4;4;4;4;Colaborador;Colaborador;Colaborador;Productor;Productor;5;5;5;10-20 años;5;5;5;5;5
Femenino;México;24;convivencia con compañeros de piso;Universitario;asalariado;Alguien que conozco me recomendó probar los MOOCs;0;ninguno de ellos;Sí;Sí;Sí;Sí;Implementar lo aprendido en la empresa donde trabajo;5;4;5;4;5;5;Consumidor;Consumidor;Consumidor;Colaborador;Consumidor;5;5;5;10-20 años;4;5;5;5;5
Femenino;Perú;22;vivo con mis padres;Universitario;Otro;Navegaba por la red con la intención de encontrar cursos en línea y me los encontré;1;todos ellos;No;No;Sí;No;0;5;4;4;3;5;5;Consumidor;Consumidor;Consumidor;Consumidor;Consumidor;4;4;5;10-20 años;4;4;4;4;4
Femenino;España;26;vivo solo;Master;asalariado;Navegaba por la red con la intención de encontrar cursos en línea y me los encontré;4;cerca de tres cuartos de ellos;No;No;No;Sí;0;5;5;5;5;5;5;Consumidor;Consumidor;Consumidor;Productor;Consumidor;5;5;5;10-20 años;5;5;5;5;5
Femenino;Brasil;27;vivo solo;Master;estudiante;Alguien que conozco me recomendó probar los MOOCs;2;cerca de la mitad de ellos;Sí;Sí;Sí;Sí;0;5;1;1;2;1;1;Consumidor;Consumidor;Consumidor;Colaborador;Colaborador;1;1;1;0-10 años;5;4;5;5;5
Femenino;España;37;convivencia en pareja;Master;asalariado;Mi universidad los ofrece;1;todos ellos;No;No;Sí;Sí;0;5;4;5;4;4;5;Consumidor;Consumidor;Consumidor;Productor;Productor;3;5;5;0-10 años;3;4;4;4;4
Masculino;Honduras;25;vivo con mis padres;Estudios superiores;estudiante;Navegaba por la red y por casualidad los encontré;0;ninguno de ellos;Sí;Sí;Sí;Sí;0;5;3;5;2;5;4;Consumidor;Consumidor;Consumidor;Colaborador;Consumidor;5;5;5;0-10 años;4;5;4;4;5
Femenino;Costa Rica;55;convivencia en pareja;Universitario;asalariado;Alguien que conozco me recomendó probar los MOOCs;0;ninguno de ellos;No;Sí;No;No;ampliar conocimientos;5;5;5;5;5;5;Consumidor;Consumidor;Consumidor;Consumidor;Consumidor;5;5;5;0-10 años;5;5;5;5;5
Femenino;España;32;convivencia en pareja;Universitario;desempleado y en búsqueda de empleo;Navegaba por la red y por casualidad los encontré;0;ninguno de ellos;No;No;No;Sí;0;5;5;5;5;5;5;Consumidor;Consumidor;Consumidor;Colaborador;Colaborador;5;5;5;0-10 años;5;5;5;5;5
Femenino;Brasil;39;vivo con mis padres;Universitario;desempleado y en búsqueda de empleo;Navegaba por la red y por casualidad los encontré;4;cerca de la mitad de ellos;Sí;Sí;Sí;Sí;0;5;5;5;4;5;5;Consumidor;Consumidor;Consumidor;Productor;Colaborador;5;5;5;0-10 años;5;4;5;5;4
Femenino;Brasil;37;convivencia en pareja;Doctorado;asalariado;Navegaba por la red con la intención de encontrar cursos en línea y me los encontré;0;ninguno de ellos;Sí;No;Sí;Sí;0;5;1;1;1;1;1;Consumidor;Colaborador;Colaborador;Productor;Productor;5;5;5;10-20 años;5;5;5;5;5
Femenino;Brasil;23;vivo con mis padres;Estudios medios;estudiante;Alguien que conozco me recomendó probar los MOOCs;1;todos ellos;Sí;No;Sí;Sí;0;5;5;5;3;5;5;Consumidor;Consumidor;Consumidor;Productor;Productor;5;5;5;10-20 años;5;5;5;5;5
Masculino;Colombia;36;vivo solo;Estudios superiores;autónomo;Navegaba por la red y por casualidad los encontré;0;ninguno de ellos;No;No;No;Sí;0;5;4;5;4;5;4;Colaborador;Consumidor;Consumidor;Colaborador;Colaborador;5;5;5;0-10 años;5;5;5;5;5
