Gender;Country;Country_other;Age;Family;Kids;SchoolLevel;work;LE1[SQ001];LE1[SQ002];LE1[SQ003];LE1[SQ004];LE2;LE3;LE4;LE5;LE6;B1;B2[SQ001];B2[SQ002];B2[SQ003];B2[SQ004];B2[SQ005];B2[SQ006];B3[SQ001];B3[SQ002];B3[SQ003];B3[SQ004];B3[SQ005];B4[SQ001];B4[SQ002];B4[SQ003];B4[SQ004];B4[SQ005];B4[SQ006];B4[SQ007];B4[SQ008];B5;B6;FU0
Masculino;República Dominicana;;1984;vivo en pareja;0;Universitario;asalariado;4;5;5;5;Antes de comenzar el curso;Si, pero decidí invertir menos tiempo;4;Navegado el portal;;De acuerdo;Muy importante;Muy importante;Importante;Importancia moderada;Muy importante;Muy importante;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Muy importante;Muy importante;Importante;Importante;Importante;Importante;Muy importante;Muy importante;Sí;Uso de artículos personales no desechables en mi casa, oficina y en la calle, compartir información en mis redes personales sobre esta importancia y conversar en grupo de amigos ;
Masculino;Panamá;;1987;vivo con compañeros de piso;3;Estudios superiores;desempleado pero no en búsqueda activa de empleo;3;2;2;3;Durante el curso;No tuve suficiente tiempo;3;Participado en algunas actividades de algunos módulos de aprendizaje, he navegado y descargado los materiales;5;Totalmente de acuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Sí;Reciclaje;
Masculino;México;;1973;vivo en pareja;3;Universitario;militar;5;5;5;5;Al comenzar el curso.;No tuve suficiente tiempo;2;Participado en la mayoría de las actividades de algunos módulos, he navegado y descargado los materiales;2;De acuerdo;Muy importante;Importancia moderada;Muy importante;Importancia moderada;Muy importante;Muy importante;Totalmente de acuerdo;De acuerdo;Totalmente de acuerdo;De acuerdo;De acuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Sí;DE MANERA MENSUAL SE RECOJE BASURA MARINA FLOTANTE A TRAVES DE MI INSTITUCION QUE LABORO;
Masculino;Argentina;;1961;vivo solo;3;Universitario;asalariado;Completamente;Completamente;Completamente;Completamente;Antes de comenzar el curso;Si;40;Participado en todas las tareas de aprendizaje de la ORIENTACIÓN LIDERAZGO y ORIENTACIÓN EXPERTO, he navegado,  descargado los materiales y enviado las tareas finales;;Totalmente de acuerdo;Muy importante;Muy importante;Importancia moderada;Muy importante;Muy importante;Muy importante;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Sin importancia;Sin importancia;Sí;Vengo desarrollando embarcaciones y sistemas de captura para la basura marina, además de difundirlo en una ong en que participo a nivel latinoamericano AIDIS.;"Considero muy importante el curso.  Me inicié en este tema en el 2004 diseñando una embarcación para recoger y procesar basura marina, desde entonces me ocupo de ello.  Pero mi sorpresa, muy grata por cierto, es en todo lo que el curso me aportó acerca de los microplásticos y su trascendencia. Hasta este momento, mi ""visión"" llegaba hasta los residuos plásticos nada más, sin duda que ahora la misma se ha ampliado sustancialmente.  Me interesaría contactarme con el equipo para establecer una alianza con AIDIS Argentina http://www.aidisar.org.ar/  y con AIDIS INTERAMERICANA http://www.aidis.org.br/html/esp/index_esp.html En AIDIS Argentina soy actualmente el Director de Residuos Sólidos, además de su Tesorero. Más allá de ello, los FELICITO!!!! por el curso y la labor que desarrollan."
Femenino;Otro;Brazil;1993;vivo con mis padres;0;Estudios superiores;estudiante;Completamente;Completamente;Completamente;Completamente;Durante el curso;Si;2;Navegado el portal;;De acuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Sí;Entré en una ONG. Hago colectas de la basura de las playas donde voy.;
Masculino;Otro;Portugal;1951;vivo en pareja;0;Doctorado;autónomo;Completamente;Completamente;Completamente;6;Durante el curso;Si;20;Navegado y descargado los materiales educativos;;Totalmente de acuerdo;Muy importante;Muy importante;Importancia moderada;Importancia moderada;Muy importante;Muy importante;Totalmente de acuerdo;De acuerdo;De acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Muy importante;Muy importante;Muy importante;Importante;Importante;Importante;Importante;Importancia moderada;No;Incentivar las personas a no fumar en la playa y no dejar botellas plástico en la playa;Es importante haber cada vez más este cursos similares a este.
Masculino;Perú;;1993;vivo con compañeros de piso;1;Universitario;asalariado;4;Completamente;Completamente;6;Durante el curso;No tuve suficiente tiempo;8;Participado en algunas actividades de algunos módulos de aprendizaje, he navegado y descargado los materiales;2;De acuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Totalmente de acuerdo;Totalmente de acuerdo;De acuerdo;De acuerdo;Totalmente de acuerdo;Importante;Muy importante;Muy importante;Importante;Importante;Importante;Importante;Importante;Sí;Segregación de basura, menos uso del plático, difusión de información.;Hubiese sido ideal que el curso se extienda más tiempo y que las unidades no demandan 4 horas en ser completadas, es decir, más unidades con menos tiempo de duración.
Masculino;México;;1996;vivo con compañeros de piso;0;Universitario;asalariado;4;4;4;4;Antes de comenzar el curso;No tuve suficiente tiempo;0;Navegado el portal;;Neutral;Importancia moderada;Importancia moderada;Muy importante;Importante;Muy importante;Muy importante;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De poca importancia;Importancia moderada;De poca importancia;De poca importancia;Importancia moderada;Importancia moderada;Importancia moderada;Importancia moderada;No;comenzar a nivel local, con el ejemplo, además de que así poder contagiar a todas las personas inclusive gente del gobierno local;
Femenino;España;;1978;vivo en pareja;0;Master;asalariado;4;4;5;5;Al comenzar el curso.;Si;50;Participado en todas las tareas de aprendizaje de la ORIENTACIÓN LIDERAZGO, he navegado y descargado los materiales, y he enviado la tarea final para obtener el certificado;;De acuerdo;Importante;Importante;Importante;Importante;Importante;Importante;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Sí;proyectos;
Masculino;España;;1992;vivo con mis padres;0;Master;asalariado;5;5;6;5;Durante el curso;Si;60;Participado en todas las tareas de aprendizaje de la ORIENTACIÓN LIDERAZGO, he navegado y descargado los materiales, y he enviado la tarea final para obtener el certificado;;Totalmente de acuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;De acuerdo;De acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Importante;Muy importante;Muy importante;Importante;Importante;Muy importante;Importancia moderada;Importancia moderada;No;Aún no he realizado ninguna;
Femenino;España;;1975;vivo en pareja;0;Master;asalariado;5;6;6;6;Antes de comenzar el curso;No tuve suficiente tiempo;6;Participado en algunas actividades de algunos módulos de aprendizaje, he navegado y descargado los materiales;2;Totalmente de acuerdo;Muy importante;Muy importante;Muy importante;Importante;Muy importante;Muy importante;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Muy importante;Muy importante;Muy importante;Importante;Importante;Muy importante;Importante;Importante;No;Al trabajar en un área marina protegida, desarrollamos un programa educativo y divulgativo sobre la problemática de basuras marinas.;
Femenino;España;;1987;vivo con mis padres;0;Master;desempleado y en búsqueda de empleo;5;5;6;5;Al comenzar el curso.;No tuve suficiente tiempo;28;Participado en todas las actividades de algunos módulos, he navegado y descargado los materiales;7;Totalmente de acuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Muy importante;Muy importante;Importante;Muy importante;Muy importante;Importante;Importancia moderada;Importancia moderada;Sí;Clasificacion de residuos;
Masculino;México;;1980;vivo solo;0;Universitario;asalariado;5;Completamente;Completamente;Completamente;Antes de comenzar el curso;No tuve suficiente tiempo;8;Navegado el portal;;Totalmente de acuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Sí;Eliminar el uso de plásticos en mi modo de vida. Difundir información relevante que invite a acciones simples con gran impacto.;Gracias por su gran aporte. ¿Qué puedo hacer para concluir el curso?
Femenino;Perú;;1995;vivo con mis padres;1;Universitario;asalariado;4;4;4;4;Durante el curso;No tuve suficiente tiempo;10;Navegado y descargado los materiales educativos;;De acuerdo;Importante;Importante;Importante;Importante;Importante;Importante;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Sí;campañas de limpieza de playa;
Masculino;Otro;BRASIL;1983;vivo en pareja;1;Universitario;militar;5;5;5;5;Al comenzar el curso.;Si;20;Participado en todas las tareas de aprendizaje de la ORIENTACIÓN LIDERAZGO y ORIENTACIÓN EXPERTO, he navegado,  descargado los materiales y enviado las tareas finales;;De acuerdo;Muy importante;Importante;Importante;Importante;Muy importante;Importante;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;Importante;Muy importante;Muy importante;Importante;Muy importante;Importante;Importancia moderada;Importante;No;DESCARTE CORRETO DOS RESÍDUOS DOMÉSTICOS;ÓTIMO CURSO...
Masculino;Otro;Brasil;1967;vivo en pareja;1;Diplomado;asalariado;Completamente;Completamente;Completamente;Completamente;Durante el curso;Si;20;Navegado y descargado los materiales educativos;;De acuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Sí;limpieza de la orilla;
Femenino;México;;1974;vivo en pareja;0;Estudios superiores;autónomo;5;5;4;5;Al comenzar el curso.;Si, pero decidí invertir menos tiempo;80;Participado en algunas actividades de algunos módulos de aprendizaje, he navegado y descargado los materiales;4;De acuerdo;Muy importante;Importante;Importante;Importante;Muy importante;Muy importante;Totalmente de acuerdo;De acuerdo;Totalmente de acuerdo;De acuerdo;De acuerdo;Muy importante;Importante;Importante;Muy importante;Importante;Importante;De poca importancia;Sin importancia;Sí;La más importante es comenzar con uno mismo y así lo hago, no genero basura en casa, cambio de hábitos que al final son replicables con ejemplo. Mi proyecto como tal de colecta y reciclaje aun no esta definido.;Aun me faltan temas por concluir pero es un muy buen curso, me ha faltado tiempo ya que realizo trabajo en campo.
Femenino;Otro;Brasil;1961;vivo solo;0;Doctorado;Otro;6;Completamente;Completamente;Completamente;Al comenzar el curso.;No tuve suficiente tiempo;150;Participado en todas las tareas de aprendizaje de la ORIENTACIÓN LIDERAZGO y ORIENTACIÓN EXPERTO, he navegado,  descargado los materiales y enviado las tareas finales;;De acuerdo;Importante;Importante;Muy importante;Importante;Muy importante;Muy importante;En desacuerdo;En desacuerdo;En desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Muy importante;Muy importante;Muy importante;Importante;Importante;Importante;Importancia moderada;Importancia moderada;Sí;Comencé a realizar un levantamiento de la basura marina en la playa que frenaba y estoy con un grupo de amigas estudiando la posibilidad de realizar una campaña de limpieza de lagunas cerca de donde vivo. Además, estoy divulgando el curso y la problemática de la basura marina con las personas que convivo.;
Masculino;Otro;brasil;1989;vivo en pareja;0;Universitario;estudiante;4;5;5;6;Antes de comenzar el curso;No tuve suficiente tiempo;1;Navegado el portal;;Totalmente de acuerdo;Importante;Importante;Importante;Importante;Muy importante;Muy importante;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Sí;eu tenho sempre recolho todo e qualquer lixo que encontro enquanto estou na praia.;
Femenino;Otro;Brasil;1980;vivo en pareja;2;Master;asalariado;Nada;Completamente;Completamente;Completamente;Antes de comenzar el curso;No tuve suficiente tiempo;0;Navegado el portal;;De acuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;No; Me gustaría ser incluida en la próxima clase. Por motivos personales de enfermedad de mi hijo, y de incompatibilidad con el momento actual en el trabajo, no conseguí realizar el MOOC.;Me gustaría ser incluida en la próxima clase. Por motivos personales de enfermedad de mi hijo, y de incompatibilidad con el momento actual en el trabajo, no conseguí realizar el MOOC.
Masculino;España;;1971;vivo en pareja;0;Universitario;asalariado;6;6;6;6;Al comenzar el curso.;Si;300;Participado en todas las tareas de aprendizaje de la ORIENTACIÓN LIDERAZGO y ORIENTACIÓN EXPERTO, he navegado,  descargado los materiales y enviado las tareas finales;;De acuerdo;Importante;Importante;Importante;Importante;Muy importante;Muy importante;De acuerdo;Totalmente de acuerdo;De acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Importante;Muy importante;Importante;Importante;Importante;Importante;Importante;Importante;Sí;Acción de difusión en redes sociales. Acciones de limpieza de costa y submarina.;El curso me ha parecido muy interesante, he aprendido cosas que no sabía sobre las basuras marinas y el plástico en particular.
Femenino;Otro;Brasil;1981;vivo en pareja;0;Master;desempleado y en búsqueda de empleo;4;3;3;3;Nunca;Si, pero decidí invertir menos tiempo;24;Participado en algunas actividades de algunos módulos de aprendizaje, he navegado y descargado los materiales;2;Totalmente de acuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;En desacuerdo;En desacuerdo;De acuerdo;Neutral;Neutral;Importancia moderada;Importante;Muy importante;Importante;Importante;Importante;Importancia moderada;Importancia moderada;No;Projeto de compostagem municipal;
Masculino;Chile;;1950;vivo en pareja;1;Master;jubilado;3;2;5;5;Durante el curso;Si;12;Navegado y descargado los materiales educativos;;De acuerdo;Importante;Importante;Muy importante;Importante;Importante;Importante;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;Importante;Importancia moderada;Importancia moderada;Importancia moderada;Importancia moderada;Importancia moderada;Importancia moderada;Importancia moderada;No;Limpieza de playas.;No llegaron los primeros tres módulos.
Femenino;Estados Unidos;;1996;vivo con mis padres;0;Diplomado;estudiante;6;6;6;6;Durante el curso;No tuve suficiente tiempo;60;Participado en todas las tareas de aprendizaje de la ORIENTACIÓN LIDERAZGO, he navegado y descargado los materiales, y he enviado la tarea final para obtener el certificado;;Totalmente de acuerdo;Muy importante;Importante;Importante;Importancia moderada;Muy importante;Importante;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;En desacuerdo;Neutral;Muy importante;Muy importante;Importante;Importancia moderada;Importancia moderada;Importancia moderada;Importante;Importante;Sí;Se ha hecho una propuesta a nivel universatario de un proyecto de concientización del cuidado de áreas marinas. A nivel personal, no permito que las personas cercanas a mí sigan con actitud y acciones contaminante, en especial en zonas cercanas a ambientes marinos. Además, al ir a la playa, me doy un tiempo de recolección de residuos. Ambas acciones ya la hacia, sin embargo ahora es con mayor potencia.;Tener mayor precaución con algunos pequeños fallos en la plataforma, como los día en los que se subía el contenido o la falta de orientación para la creación de grupos de nivel experto.
Masculino;España;;1978;vivo en pareja;3;Master;asalariado;5;5;5;5;Antes de comenzar el curso;Si;60;Participado en todas las tareas de aprendizaje de la ORIENTACIÓN LIDERAZGO y ORIENTACIÓN EXPERTO, he navegado,  descargado los materiales y enviado las tareas finales;;Totalmente de acuerdo;Importancia moderada;Importante;Muy importante;Muy importante;Muy importante;Muy importante;Totalmente de acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;Muy importante;Importante;Importancia moderada;Importante;Importancia moderada;Importante;De poca importancia;Importancia moderada;No;Financiación proyectosa través del Programa pleamar;
Femenino;España;;1994;vivo con mis padres;0;Master;desempleado y en búsqueda de empleo;5;4;6;5;Antes de comenzar el curso;No tuve suficiente tiempo;25;Participado en todas las tareas de aprendizaje de la ORIENTACIÓN LIDERAZGO, he navegado y descargado los materiales, y he enviado la tarea final para obtener el certificado;;Totalmente de acuerdo;Importancia moderada;Importante;Importante;Importante;Muy importante;Importancia moderada;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;Importante;Importante;Importante;Importancia moderada;Importante;Importancia moderada;Importancia moderada;Importancia moderada;No;Continuar con las acciones que venía desarrollando;
Femenino;Otro;brasil;1973;vivo en pareja;0;Universitario;autónomo;Completamente;Completamente;4;Completamente;Durante el curso;Si, pero decidí invertir menos tiempo;2;Participado en algunas actividades de algunos módulos de aprendizaje, he navegado y descargado los materiales;4;De acuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Sí;coleta de lixo seletivo;não recebi meu certificado
Femenino;Otro;BRASIL;1965;Otro;3;Universitario;Otro;4;4;4;3;Durante el curso;No tuve suficiente tiempo;2;Navegado y descargado los materiales educativos;;De acuerdo;Importante;Importante;Muy importante;Muy importante;Muy importante;Muy importante;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;No;EDUCAÇÃO AMBIENTAL COM ALUNOS E COMUNIDADES;
Masculino;España;;1997;vivo con compañeros de piso;0;Universitario;estudiante;5;6;Completamente;Completamente;Al comenzar el curso.;Si, pero decidí invertir menos tiempo;24;Participado en todas las tareas de aprendizaje de la ORIENTACIÓN LIDERAZGO, he navegado y descargado los materiales, y he enviado la tarea final para obtener el certificado;;Neutral;Muy importante;Importancia moderada;Importante;Importancia moderada;Muy importante;Importante;Totalmente de acuerdo;De acuerdo;De acuerdo;Totalmente de acuerdo;De acuerdo;Importante;Muy importante;Muy importante;Importancia moderada;Importante;Importancia moderada;Importancia moderada;Importancia moderada;Sí;Proyectos de recogida de basuras.;
Femenino;Ecuador;;1995;vivo con mis padres;0;Estudios superiores;desempleado y en búsqueda de empleo;5;4;4;5;Antes de comenzar el curso;No tuve suficiente tiempo;20;Participado en algunas actividades de algunos módulos de aprendizaje, he navegado y descargado los materiales;7;Totalmente en desacuerdo;Importante;Importante;Muy importante;Muy importante;Importancia moderada;Importante;Totalmente de acuerdo;Totalmente de acuerdo;De acuerdo;De acuerdo;De acuerdo;Muy importante;Importante;Importante;Importante;Importante;Importante;Muy importante;Muy importante;Sí;Entrega de fundas para recolección de basura en las playas ;
Femenino;Otro;Brazil;1970;vivo en pareja;1;Doctorado;asalariado;Nada;Nada;Nada;Nada;Nunca;No tuve suficiente tiempo;0;Navegado el portal;;De acuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;No;Infelizmente eu não pude fazer o curso, por motivos de forças maior, mas gostaria de fazer em nova oportunidade;Parabéns pela inciativa e votos para que o curso seja realizado muitas vezes pois há necessidade de gerir esse tipo de poluição que está destruindo os recursos marinhos. Parabéns a todos os que concluíram o curso e mãos a obra para salvar os oceanos, mares e vida marinha!
Femenino;México;;1965;vivo solo;0;Master;asalariado;5;5;5;5;Antes de comenzar el curso;No tuve suficiente tiempo;25;Participado en algunas actividades de algunos módulos de aprendizaje, he navegado y descargado los materiales;7;Totalmente de acuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Importante;Importante;No;Aún no he iniciado acciones. Sin embargo, ahora que colaboro en un grupo de la sociedad civil en Oaxaca, tengo planes para que iniciemos un movimiento de prevención de basura marina, desde las localidades donde esta organización realiza trabajo de desarrollo comunitario. ;Agradezco a cada un de ustedes, personas e instituciones, por esta iniciativa, por el MLMOOCES18. Y por el seguimiento que realizan.
Femenino;Costa Rica;;1953;vivo en pareja;2;Master;asalariado;6;5;5;6;Antes de comenzar el curso;No tuve suficiente tiempo;6;Navegado y descargado los materiales educativos;;Totalmente de acuerdo;Muy importante;Importante;Importante;Importante;Muy importante;Muy importante;De acuerdo;Totalmente de acuerdo;De acuerdo;De acuerdo;Totalmente de acuerdo;Muy importante;Muy importante;Muy importante;Importante;Importante;Importante;Muy importante;Muy importante;No;Ninguna aun;
Femenino;España;;1970;vivo en pareja;2;Universitario;autónomo;6;6;6;6;Al comenzar el curso.;Si, pero decidí invertir menos tiempo;50;Participado en algunas actividades de algunos módulos de aprendizaje, he navegado y descargado los materiales;7;Totalmente en desacuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Muy importante;Muy importante;Muy importante;De poca importancia;De poca importancia;De poca importancia;De poca importancia;De poca importancia;Sí;Recogida y caracterización de residuos marinos;
Femenino;Otro;Brasil;1991;Otro;0;Universitario;autónomo;Completamente;4;4;6;Al comenzar el curso.;No tuve suficiente tiempo;3;Participado en algunas actividades de algunos módulos de aprendizaje, he navegado y descargado los materiales;2;Totalmente de acuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Importancia moderada;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Importante;Importante;No;Reciclar o lixo produzido em casa e descartar corretamente outros resíduos ou dejetos;Nenhum.
Femenino;España;;1994;vivo con mis padres;0;Universitario;estudiante;4;3;4;3;Durante el curso;No tuve suficiente tiempo;1;Participado en todas las tareas de aprendizaje de la ORIENTACIÓN LIDERAZGO, he navegado y descargado los materiales, y he enviado la tarea final para obtener el certificado;;Totalmente de acuerdo;De poca importancia;Importante;Muy importante;Muy importante;Muy importante;Importancia moderada;De acuerdo;Totalmente de acuerdo;En desacuerdo;En desacuerdo;De acuerdo;Importancia moderada;Muy importante;Importante;Importante;Importante;De poca importancia;De poca importancia;De poca importancia;No;Cambios personales;
Femenino;Perú;;1974;vivo en pareja;3;Master;asalariado;Completamente;Completamente;6;6;Durante el curso;No tuve suficiente tiempo;10;Participado en todas las tareas de aprendizaje de la ORIENTACIÓN LIDERAZGO y ORIENTACIÓN EXPERTO, he navegado y descargado los materiales;;Totalmente de acuerdo;Muy importante;Importante;Importante;Importante;Importante;Importante;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Sí;La difusion por redes sociales. Inclusion del tema de basura marina en las normas locales de gestion de la basura urbana en mi localidad. Inclusion del tema basura marina en los planes y proyectos de educacion ambiental de mi localidad ;Que se continue periodicamente con el curso masivo abierto en linea Basura Marina. Asimismo orientar y/o capacitar en temas de elaboracion y/o adquisicion de los recursos para los proyectos ambientales en temas de basura marina en Peru.
Femenino;Perú;;1982;Otro;1000;Master;asalariado;Nada;Nada;Nada;Nada;Nunca;No tuve suficiente tiempo;0;Navegado el portal;;Totalmente en desacuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De poca importancia;De poca importancia;De poca importancia;De poca importancia;De poca importancia;De poca importancia;De poca importancia;De poca importancia;Sí;REcojo de basura en la playa.;
Femenino;Otro;Brasil;1995;Otro;0;Estudios medios;estudiante;Completamente;Completamente;Completamente;Completamente;Durante el curso;Si;18;Participado en todas las tareas de aprendizaje de la ORIENTACIÓN LIDERAZGO y ORIENTACIÓN EXPERTO, he navegado y descargado los materiales;;Totalmente de acuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Sí;Participo de un proyeto que trabaja a un nivel nacional de multiroón de limpieza de playas en Brazil. ;
Femenino;Perú;;1997;vivo con mis padres;0;Universitario;estudiante;5;6;5;5;Durante el curso;No tuve suficiente tiempo;50;Participado en la mayoría de las actividades de algunos módulos, he navegado y descargado los materiales;3;De acuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Sin importancia;Sin importancia;Sin importancia;Sin importancia;Sin importancia;Sin importancia;Sin importancia;Sin importancia;No;limpieza de playas cercana a mi casa (paya conchan. villa el salvador, lima);que si cada persona con una pequeña acción beneficiosa para el  mar, eso seria un cambio incalculable como la arena de las playas que limpia
Femenino;Panamá;;1989;vivo en pareja;0;Universitario;Otro;Completamente;Completamente;Completamente;Completamente;Antes de comenzar el curso;Si;4;Participado en todas las tareas de aprendizaje de la ORIENTACIÓN LIDERAZGO, he navegado y descargado los materiales, y he enviado la tarea final para obtener el certificado;;Totalmente de acuerdo;Importante;Importante;Importante;Importante;Importante;Importante;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Sí;Hacer acuerdos con la Carta de la Tierra para combatir mediante campañas la contaminación en los mares, lagos y ríos;
Femenino;Honduras;;1971;vivo en pareja;3;Universitario;autónomo;Nada;Nada;Nada;Nada;Antes de comenzar el curso;No tuve suficiente tiempo;4;Navegado el portal;;Totalmente de acuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Neutral;De acuerdo;De acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Importancia moderada;Importancia moderada;Importancia moderada;Importancia moderada;Importancia moderada;Importancia moderada;Importante;Importancia moderada;Sí;Concientizando a los niños y jovenes de la importancia de no tirar basura (Desechos o residuos al maro a los alcanrarillados ya que de igual forma van al mar. ;
Masculino;España;;1965;vivo en pareja;0;Diplomado;asalariado;2;4;6;Completamente;Antes de comenzar el curso;No tuve suficiente tiempo;1;Navegado el portal;;De acuerdo;Importante;Importancia moderada;Muy importante;Importante;Muy importante;Importancia moderada;De acuerdo;De acuerdo;De acuerdo;De acuerdo;Neutral;Muy importante;Importante;Importante;Importante;Muy importante;Muy importante;Importante;Importante;No;Limpiar fondos marinos. Uso de plásticos en el hogar.;
