nombre;grupo;profesor;comunidad;genero;edad;edadmalumnos;materias;modalidad;movil;a;b;c;d;e;f;g;h;i;j;k;l;m;no;p;q;r;s;tu;v;w;x;y;z;aa;ab;ac;ad;ae;af;ag;ah;ai;aj;ak;al
12;Grupo 3;Primaria;Región de Murcia;Mujer;37;6;Matemáticas, Lengua y literatura, Otras ...;Presencial;Sí;No;Sí;Soy maestra de infantil principalmente, y con ellos no he utilizado nunca los móviles, este año estoy en Primero de Primaria y tampoco veo oportuno utilizar los móviles con ellos.;Sí, pero solo durante la jornada laboral y el periodo lectivo;Sí, pero solo durante la jornada laboral y el periodo;2;2;2;2;2;2;2;2;2;2;2;5;5;5;4;4;5;3;3;4;4;3;2;4;2;3;3;3;El uso del móvil está prohibido al alumnado;Comunidad autónoma;16
13;Grupo 3;Formación profesional;Comunidad Valenciana;Mujer;31;18;Otras ...;Presencial;Sí;Sí;No;Itaca y kahoot;Sí, pero solo durante la jornada laboral y el periodo lectivo;Sí, pero solo durante la jornada laboral y el periodo;4;4;5;3;4;2;1;1;2;1;4;5;5;4;2;3;2;4;3;5;3;5;5;5;5;4;5;5;El uso del móvil está prohibido al alumnado;Centro escolar;16
14;Grupo 1;Secundaria;Región de Murcia;Mujer;34;15;Geografía e historia;Presencial;Sí;Sí;Sí;He utilizado el móvil para una actividad en Instagram y para el Kahoot y la tablet para mi cuaderno del profesor y el seguimiento de las clases.;Sí, pero solo durante la jornada laboral y el periodo lectivo;Sí, siempre;3;2;5;5;5;5;5;5;5;5;5;5;5;3;4;5;5;5;5;5;5;5;5;5;5;5;5;5;El uso del móvil está prohibido al alumnado;Profesor;14
15;Grupo 1;Primaria;Extremadura;Hombre;30;10;Matemáticas, Lengua y literatura, Otras ...;Presencial;Sí;Sí;Sí;La plataforma Rayuela como modo de comunicación, así como google Drive, correo electrónico, etc.;No;Sí, siempre;2;2;4;3;4;4;4;3;2;3;3;4;4;2;2;2;4;4;4;4;3;4;4;4;4;3;3;4;El uso del móvil está prohibido al alumnado;Ministerio de Educación;15
16;Grupo 3;Primaria;Extremadura;Hombre;36;11;Matemáticas, Lengua y literatura, Educación física;Presencial;Sí;Sí;No;"WhatsApp para comunicación con el equipo docente.
ClassDojo para comunicarme con las familias.
Blog para enviar recursos educativos.
Laboratorios virtuales de Lengua y Matemáticas para un aprendizaje adaptativo de los alumnos";No;Sí, siempre;1;1;4;1;4;3;2;4;1;4;3;4;4;4;3;5;5;4;4;4;3;4;1;4;4;4;4;4;El uso del móvil está prohibido al alumnado;Ministerio de Educación;13
17;Grupo 2;Secundaria;Andalucía;Mujer;39;13;Lengua y literatura;Online;Sí;Sí;No;iseneca, drae, youtube, blogs de lengua y literatura, entre otras,  para la búsqueda de información y completar contenidos.;Sí, pero solo durante la jornada laboral y el periodo lectivo;No;3;1;4;1;4;4;1;1;1;1;1;4;5;5;5;4;4;4;5;4;3;3;3;3;5;3;4;2;El uso del móvil está prohibido al alumnado;Centro escolar;15
18;Grupo 3;Formación profesional;Andalucía;Hombre;26;20;Informática, Otras ...;Presencial;Sí;Sí;No;ASIA (App del centro para los profesores para pasar lista) Kahoot!;Sí, siempre;Sí, siempre;3;5;3;4;5;3;3;3;1;2;2;5;4;3;2;2;4;5;5;5;4;5;5;5;5;5;5;5;El uso del móvil está prohibido al alumnado;Centro escolar;15
19;Grupo 2;Primaria;Aragón;Mujer;27;12;Matemáticas, Lengua y literatura, Geografía e historia, Religión, Educación plástica;Presencial;Sí;Sí;No;;Sí, pero solo durante la jornada laboral y el periodo lectivo;Sí, pero solo durante la jornada laboral y el periodo;4;4;4;1;4;1;1;1;1;1;1;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;El uso del móvil está prohibido al alumnado;Ministerio de Educación;16
20;Grupo 2;Secundaria;Andalucía;Mujer;35;15;Matemáticas;Presencial;Sí;Sí;No;Como herramienta móvil sólo utiliza iSeneca, aplicación de la Junta de Andalucía, que permite poner las faltas de asistencia del alumno, calificaciones de las evaluaciones, observaciones del alumno al resto de equipo educativo, etc.  de un manera más rápida que por la página web. ;Sí, siempre;Sí, siempre;5;3;5;3;5;3;3;3;3;5;5;4;4;4;2;2;5;4;4;4;4;4;4;4;4;4;4;4;El uso del móvil está prohibido al alumnado;Comunidad autónoma;15
21;Grupo 2;Secundaria;Comunidad de Madrid;Mujer;31;1;NA (No he ejercido como docente);NA (No he ejercido como docente);Sí;NA (No he ejercido como docente);NA (No he ejercido como docente);Aunque no haya ejercido mi actividad profesional aún, considero la utilización móvil básica tanto para los alumnos como para nosotros los docentes. Utilizaría diferentes aplicaciones para el seguimiento del proceso del alumnado, uso de redes sociales con fines académicos, para trabajar por medio de un campus virtual, aplicaciones de juego online, etc. Creo que el móvil es la herramienta más cercana a ellos en su vida diaria, y que más controlan y presente tienen actualmente, y que podría, por ello, motivarles en su proceso de aprendizaje a través de su uso. Ahora, creo absolutamente necesario un seguimiento continuo de su actividad con esta herramienta, así como enseñarles cuáles son los límites de su manipulación en las aulas. ;Sí, pero solo durante la jornada laboral y el periodo lectivo;Sí, pero solo durante la jornada laboral y el periodo;5;2;5;5;5;3;4;2;2;4;4;5;4;4;1;4;1;5;5;5;4;4;4;4;5;4;4;4;Otros ...;Centro escolar;12
22;Grupo 1;Formación profesional;Andalucía;Mujer;33;20;Otras ...;Presencial;Sí;Sí;No;APP SÉNECA (PONER FALTAS), KAHOOT.IT (HACER CUESTIONARIOS A LOS ALUMNOS);Sí, siempre;Sí, siempre;5;5;5;5;5;3;5;5;5;5;5;4;5;4;5;4;5;5;5;5;5;5;4;5;5;5;4;4;El móvil puede utilizarse en los descansos;Centro escolar;18
23;Grupo 2;Primaria;Extremadura;Mujer;33;12;Matemáticas, Lengua y literatura;Presencial;Sí;Sí;Sí;Móvil, para planificar mis tareas a través de calendarios, como medio de comunicación con las familias y compañeros docentes a través de la App Rayuela. (Plataforma educativa extremeña);Sí, siempre;Sí, pero solo durante la jornada laboral y el periodo;4;1;4;4;4;4;1;3;1;3;3;5;1;2;1;5;5;5;5;5;5;4;4;5;5;5;5;5;El uso del móvil está prohibido al alumnado;Ministerio de Educación;14
24;Grupo 3;Secundaria;Asturias;Mujer;36;16;Idiomas;Presencial, Online;Sí;Sí;No;Correo electrónico para comunicarme con mis compañeros/as;Sí, pero solo durante la jornada laboral y el periodo lectivo;Sí, pero solo durante la jornada laboral y el periodo;3;2;3;3;4;3;4;4;3;4;4;5;4;4;2;4;4;4;4;4;4;3;3;4;4;4;4;4;El móvil puede utilizarse en los descansos;Centro escolar;15
25;Grupo 2;Secundaria;Andalucía;Hombre;33;15;Informática;Presencial;Sí;Sí;Sí;Utilizo iSeneca para pasar lista en clase. También tengo iDoceo en el Ipad para tener un control de notas de todas las actividades que realizamos. Con los alumnos de 2¼ de bachillerato utilizamos appInventor.;Sí, siempre;Sí, pero solo durante la jornada laboral y el periodo;1;1;5;3;5;5;1;5;1;5;5;5;2;3;2;1;2;5;5;5;4;5;5;5;5;4;5;5;El uso del móvil está prohibido al alumnado;Centro escolar;14
26;Grupo 3;Secundaria;Asturias;Hombre;41;15;Matemáticas;Presencial;Sí;Sí;No;;Sí, pero solo durante la jornada laboral y el periodo lectivo;Sí, siempre;4;2;4;1;4;1;1;1;1;1;1;5;4;4;3;2;3;5;4;4;3;4;4;3;4;4;4;4;El uso del móvil está prohibido al alumnado;Comunidad autónoma;17
27;Grupo 1;Secundaria;Comunidad Valenciana;Hombre;33;14;Educación física;Presencial;Sí;No;Sí;kahoot, La tablet para pasar lista y anotaciones diversas.;Sí, pero solo durante la jornada laboral y el periodo lectivo;Sí, siempre;1;4;4;2;4;1;1;1;1;1;1;4;5;4;5;3;4;2;4;2;2;3;2;2;4;4;4;2;El móvil puede utilizarse en los descansos;Comunidad autónoma;15
28;Grupo 3;Primaria;Región de Murcia;Mujer;27;7;Música, Educación plástica;Presencial;Sí;No;No;;Sí, siempre;Sí, siempre;1;4;5;5;5;1;1;5;3;5;5;4;4;4;5;4;5;4;4;4;4;4;4;4;4;4;4;4;El uso del móvil está prohibido al alumnado;Centro escolar;16
29;Grupo 3;Primaria;La Rioja;Mujer;30;8;Otras ...;Presencial;Sí;Sí;Sí;Apps para trabajar la atención, desarrollo del lenguaje y adquisición de vocabulario.;No;No;4;4;3;2;4;2;2;3;2;4;2;4;4;4;2;5;4;4;4;5;4;4;5;5;4;3;4;4;El móvil puede utilizarse en los descansos, El uso del móvil está prohibido al alumnado;Centro escolar;14
30;Grupo 1;Primaria;Aragón;Mujer;32;9;Matemáticas, Lengua y literatura, Geografía e historia, Educación plástica;Presencial;Sí;Sí;Sí;Kahoot, con los alumnos más mayores para realizar algún test sobre algún contenido tratado en el aula;Sí, siempre;Sí, siempre;4;4;4;4;5;1;3;3;3;3;3;4;3;3;3;3;3;4;4;5;4;5;5;4;5;5;5;5;El uso del móvil está prohibido al alumnado, El uso del móvil está prohibido al profesorado;Centro escolar;16
31;Grupo 1;No soy profesor;Aragón;Hombre;28;1;NA (No he ejercido como docente);NA (No he ejercido como docente);Sí;NA (No he ejercido como docente);NA (No he ejercido como docente);No estoy ejerciendo como docente;Sí, pero solo durante la jornada laboral y el periodo lectivo;Sí, siempre;4;4;3;4;4;3;3;1;1;3;3;5;5;4;5;4;5;4;4;3;4;5;5;3;5;4;5;4;Otros ...;Ministerio de Educación;16
32;Grupo 1;Secundaria;Fuera de España;Hombre;41;15;Matemáticas, Idiomas, Otras ...;Presencial, Online, Mixta;Sí;Sí;Sí;Testmoz, nearpod, kahoot, quizziz, google doc, powerpoint, dropbox, google classroom.;Sí, pero solo durante la jornada laboral y el periodo lectivo;Sí, pero solo durante la jornada laboral y el periodo;4;4;5;5;5;3;3;3;1;4;4;4;4;3;3;3;3;4;4;4;4;4;4;4;4;4;4;4;El móvil puede utilizarse en los descansos, El uso del móvil está prohibido al profesorado;Centro escolar;14
33;Grupo 1;Otros;Galicia;Hombre;25;11;Lengua y literatura, Idiomas;Presencial;Sí;Sí;No;"WordReference (diccionario), ContextoReverso (traductor), Dicionario da Real Academia Galega, CamScanner.
";Sí, pero solo durante la jornada laboral y el periodo lectivo;Sí, pero solo durante la jornada laboral y el periodo;2;2;4;2;4;4;2;3;2;2;2;5;4;2;2;4;4;5;5;4;3;5;5;5;5;5;5;5;Otros ...;Ministerio de Educación;11
34;Grupo 2;Primaria;Región de Murcia;Mujer;33;9;Matemáticas, Lengua y literatura, Idiomas;Presencial;Sí;Sí;No;El Whatsapp para comunicarme con los compañeros y la madre colaboradora. ClassDojo para informar a los padres sobre los logros de sus hijos.;Sí, pero solo durante la jornada laboral y el periodo lectivo;Sí, siempre;1;3;4;4;2;1;1;4;1;4;4;5;4;4;3;1;3;5;5;5;4;4;4;4;4;3;4;5;El móvil puede utilizarse en todo momento, El móvil puede utilizarse en los descansos, El uso del móvil está prohibido al alumnado;Ministerio de Educación;14
35;Grupo 1;Primaria;Extremadura;Hombre;28;14;Matemáticas, Lengua y literatura, Idiomas;Presencial;Sí;No;No;Suelo utilizar el móvil como medio de comunicación con mis alumnos. También utilizo Kahoot para llevar a cabo el repaso final previo a los exámenes.Utilizo básicamente el ordenador pórtatil y el de mesa. También utilizo la pizarra digital en mi aula para el desarrollo de algunas clases. Como plataforma de coordinación en mi Comunidad Autónoma, Extremadura,  utilizamos RAYUELA, que nos permite establecer una comunicación fluida entre familia-alumnos-profesorado de mi centro.;No;Sí, siempre;4;4;5;5;4;3;2;3;2;5;5;5;5;4;2;1;5;4;4;5;2;4;4;4;5;4;5;5;El móvil puede utilizarse en los descansos;Centro escolar;18
36;Grupo 3;Primaria;Aragón;Mujer;33;4;Música, Informática, Matemáticas, Lengua y literatura, Geografía e historia, Educación plástica, Educación física, Biología y geología, Otras ...;Presencial;Sí;No;No;No utilizo herramientas móviles. solo pizarra digital, ordenador y proyector. Solamente utilizo como dispositivo móvil el teléfono móvil, y sólo para comunicarme con los compañeros o mirar el calendario.;Sí, pero solo durante la jornada laboral y el periodo lectivo;Sí, siempre;2;4;2;2;3;2;2;3;2;4;3;4;4;3;2;4;4;3;4;4;2;2;2;4;4;4;4;4;El uso del móvil está prohibido al alumnado;Centro escolar;16
37;Grupo 1;Formación profesional;Galicia;Mujer;44;23;Otras ...;Presencial;Sí;No;No;Utilizo mi dispositivo personal para crear material audiovisual que posteriormente edito y utilizo en mis clases. Es muy motivador para mí y para el alumnado, en especial en aquellas sesiones en las que revisamos su propia ejecución de tareas.;No;Sí, siempre;4;5;4;4;5;3;4;3;3;4;3;5;3;3;2;4;4;4;5;4;4;4;5;5;4;3;4;3;El uso del móvil está prohibido al alumnado;Centro escolar;15
38;Grupo 3;Primaria;Aragón;Mujer;32;9;Música, Matemáticas, Lengua y literatura, Geografía e historia, Educación plástica, Otras ...;Presencial;Sí;No;Sí;;Sí, siempre;Sí, siempre;4;2;4;4;4;3;4;3;3;4;4;4;1;1;1;3;3;4;4;4;4;5;5;4;5;4;4;5;El uso del móvil está prohibido al alumnado;Profesor;8
39;Grupo 2;Primaria;Comunidad Valenciana;Mujer;25;4;Otras ...;Presencial;Sí;No;No;"Soy maestra de Educación Infantil y en mi centro no cuento con herramientas móviles por lo que no las puedo utilizar en el aula. Utilizo el ordenador y la PDI. Por otro lado, este curso no ejerzo tutoría. Pero en los futuros años que la ejerza me gustaría utilizar herramientas como por ejemplo Class Dojo para el contacto con las familias, etc. 
OBSERVACIONES DEL CUESTIONARIO. 
En la pregunta sobre las herramientas que utilizaría con mis alumnos para comunicarme con ellos, todas me parecen adecuadas pero no de forma directa. Por ejemplo, mi alumnado es pequeño para tener facebook pero siempre se puede crear un grupo profesor-familias e ir introduciendo aspectos de interés para el alumnado, fotos, etc.
Respecto a la última pregunta considero que niños en edades tempranas ya pueden hacer uso de dispositivos con acceso a Internet, pero SIEMPRE con supervisión por parte de familiares (en casa) y docentes (en el centro) y con unas restricciones acordes a la edad.  ";Sí, siempre;Sí, siempre;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;El uso del móvil está prohibido al alumnado;Ministerio de Educación;2
40;Grupo 2;Secundaria;Región de Murcia;Mujer;36;14;Geografía e historia;Presencial;Sí;Sí;Sí;;Sí, siempre;Sí, siempre;2;2;4;4;3;3;5;3;3;3;3;4;4;4;4;4;4;5;2;4;4;5;5;5;4;4;5;4;El uso del móvil está prohibido al alumnado;Centro escolar;15
41;Grupo 3;Secundaria;Comunidad de Madrid;Mujer;34;12;Lengua y literatura, Idiomas;Presencial;Sí;Sí;Sí;"Algunas de las aplicaciones que utilizo con mis estudiantes para hacer diferentes actividades en el aula son Plickers, Kahoot, Schoology, Quizlet, Socrative, Edmodo, Nearpod, Classroom, Aurasma, SketchNote, etc. 
También utilizo una gran cantidad de aplicaciones específicas para la enseñanza y el aprendizaje de inglés, español y francés, al igual que tengo una variedad de diccionarios online y traductores. 
Además, uso la aplicación de mi colegio para llevar un control de las notas de los estudiantes, agenda, comunicados, mensajes, tutorías, etc.
Por otro lado, utilizo herramientas simples para apoyar mis lecciones como dados digitales, temporizadores, ruletas para elegir a los estudiantes, medidor del sonido, herramientas para elegir temas de debate / actividades / preguntas al azar, etc.";Sí, siempre;Sí, pero solo durante la jornada laboral y el periodo;3;2;5;4;4;3;2;2;2;4;3;4;3;2;3;4;3;4;5;4;4;3;3;4;5;5;5;5;El uso del móvil está prohibido al alumnado;Centro escolar;12
42;Grupo 3;Secundaria;Comunidad de Madrid;Mujer;39;1;Otras ...;Presencial, Online;Sí;No;Sí;;No;Sí, pero solo durante la jornada laboral y el periodo;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;5;4;5;4;3;4;4;4;5;5;5;5;5;El uso del móvil está prohibido al alumnado;Centro escolar;14
43;Grupo 2;Formación profesional;Asturias;Mujer;45;23;Otras ...;Mixta;Sí;Sí;Sí;Móvil y/o tablet para acceso a Moodle, Kahoot, videos y simuladores principalmente;Sí, pero solo durante la jornada laboral y el periodo lectivo;Sí, pero solo durante la jornada laboral y el periodo;1;1;5;5;5;5;3;2;1;1;1;5;5;5;5;1;1;5;5;5;5;5;5;5;5;5;5;5;Otros ...;Ministerio de Educación;11
44;Grupo 1;Secundaria;Aragón;Hombre;44;25;Otras ...;Presencial;Sí;Sí;Sí;Teléfono móvil en la asignatura de Botánica Agronómica para el acceso a contenidos con las aplicaciones ArbolApp y Pl@nnet para la identificación de especies botánicas en el entorno del Centro Educativo.;Sí, pero solo durante la jornada laboral y el periodo lectivo;Sí, siempre;5;5;5;3;5;3;3;3;3;3;3;4;5;3;2;2;5;5;5;5;4;5;5;4;5;5;5;5;El móvil puede utilizarse en los descansos;Profesor;12
45;Grupo 2;Primaria;Comunidad de Madrid;Mujer;30;11;Geografía e historia, Idiomas;Presencial;Sí;Sí;Sí;"MOVIL - Comunicación con compañeros. 
Tablet- Google Drive, Correo, Google Classroom, ";Sí, siempre;Sí, siempre;3;3;4;3;4;3;3;3;3;4;3;5;5;5;5;4;4;5;5;5;5;5;5;5;5;5;5;5;El uso del móvil está prohibido al alumnado;Ministerio de Educación;14
46;Grupo 1;Formación profesional;Comunidad Valenciana;Hombre;34;20;Otras ...;Presencial, Online, Mixta;Sí;Sí;No;"Kahoot: Mejorar la motivación de mis estudiantes
Mindomo: Realización de mapas conceptuales para resumen de contenidos de unidad
Schoology: LMS de trabajo
Issuu: Materiales en formato digital
Hangouts: Tutorización en la enseñanza online mediante videoconferencias";Sí, siempre;Sí, siempre;3;3;5;3;3;5;2;3;2;3;3;4;2;2;1;4;4;4;5;5;3;5;5;5;5;4;4;5;Otros ...;Profesor;16
47;Grupo 1;Secundaria;Canarias;Hombre;34;28;Lengua y literatura, Geografía e historia;Presencial, Online, Mixta;Sí;Sí;No;Smartphone para buscar conceptos, definiciones, biografías, etc;Sí, pero solo durante la jornada laboral y el periodo lectivo;Sí, pero solo durante la jornada laboral y el periodo;5;5;5;4;4;5;5;3;3;5;3;4;4;4;4;4;5;4;4;5;4;4;4;4;5;4;4;5;El móvil puede utilizarse en todo momento;Profesor;15
48;Grupo 2;Secundaria;Andalucía;Hombre;26;15;Física y química, Biología y geología;Presencial;Sí;No;No;Hasta el momento no he tenido la ocasión de utilizar herramientas móviles;Sí, pero solo durante la jornada laboral y el periodo lectivo;Sí, pero solo durante la jornada laboral y el periodo;3;2;5;4;4;3;2;2;3;4;4;5;5;3;1;2;4;4;3;3;4;4;3;4;5;4;5;4;El uso del móvil está prohibido al alumnado;Centro escolar;15
49;Grupo 2;Primaria;Extremadura;Hombre;33;10;Matemáticas, Lengua y literatura;Presencial;Sí;No;Sí;PDI;Sí, pero solo durante la jornada laboral y el periodo lectivo;Sí, pero solo durante la jornada laboral y el periodo;1;1;4;4;4;4;1;4;1;4;3;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;El uso del móvil está prohibido al alumnado;Centro escolar;16
50;Grupo 1;Primaria;Canarias;Hombre;34;9;Matemáticas, Lengua y literatura, Idiomas, Educación física;Presencial, Mixta;Sí;Sí;Sí;"Idoceo para gestión de notas y demás
Edebe ON para visualizar los contenidos de los libros digitales
DeciOM para controlar el volumen de las clases.";Sí, siempre;Sí, siempre;1;1;5;1;5;5;1;1;1;1;1;4;4;5;1;4;4;5;5;5;5;5;5;5;5;5;5;5;Otros ...;Centro escolar;16
51;Grupo 1;Secundaria;Andalucía;Mujer;24;14;Idiomas;Presencial, NA (No he ejercido como docente);Sí;NA (No he ejercido como docente);NA (No he ejercido como docente);;Sí, pero solo durante la jornada laboral y el periodo lectivo;Sí, pero solo durante la jornada laboral y el periodo;2;3;4;4;5;2;1;4;1;4;4;5;5;5;2;3;3;5;5;5;4;3;3;3;5;5;5;5;El uso del móvil está prohibido al alumnado;Profesor;13
52;Grupo 1;Primaria;Comunidad Valenciana;Hombre;27;11;Matemáticas, Lengua y literatura, Geografía e historia, Educación plástica, Educación física;Presencial;Sí;Sí;No;BynApp, comunicación con la familia.;Sí, pero solo durante la jornada laboral y el periodo lectivo;Sí, pero solo durante la jornada laboral y el periodo;1;1;1;1;1;1;1;1;1;1;1;5;5;5;4;4;5;4;4;4;4;2;5;3;5;5;5;4;El uso del móvil está prohibido al alumnado;Centro escolar;16
53;Grupo 3;Secundaria;Andalucía;Hombre;31;16;Educación física;Presencial;Sí;Sí;Sí;Con el dispositivo móvil se pasa lista diariamente y se accede a los datos personales del alumnado para las acciones tutoriales. También, es una herramienta de comunicación entre los compañeros del Equipo Docente y con el Equipo Directivo del Centro. También, de manera paralela, utilizo el iPad y su aplicación iDoceo para realizar labores de recogida de datos y control de las sesiones, herramienta que sustituye al tradicional Cuaderno del Profesor, y que permite almacenar sesiones, imágenes, datos del alumnado, acceder rápidamente a rúbricas, estándares, criterios, contenidos de otras asignaturas y un largo etcétera de posibilidades. ;Sí, pero solo durante la jornada laboral y el periodo lectivo;Sí, pero solo durante la jornada laboral y el periodo;1;3;5;2;5;3;3;3;1;2;2;4;4;1;1;5;5;5;5;5;5;3;4;5;3;4;5;5;El uso del móvil está prohibido al alumnado;Ministerio de Educación;14
54;Grupo 1;Secundaria;Asturias;Hombre;42;15;Educación física;Presencial;Sí;Sí;No;whatsapp para comunicación con compañeros, EDMODO aula virtual, consulta en Internet, realización de vídeos/fotos;Sí, siempre;Sí, siempre;2;2;3;4;4;3;3;3;2;4;3;5;5;4;2;4;4;4;4;4;4;4;4;5;5;4;5;4;El uso del móvil está prohibido al alumnado;Profesor;13
55;Grupo 1;Formación profesional;Castilla La Mancha;Hombre;36;30;Otras ...;Presencial;Sí;Sí;No;Portátil, soy profesor de electricidad, lo necesito para aplicaciones informáticas y software utilizado en mi sector;No;Sí, pero solo durante la jornada laboral y el periodo;1;4;4;1;4;1;1;1;1;1;1;5;3;3;3;1;4;4;4;4;4;4;3;4;4;4;4;4;El móvil puede utilizarse en los descansos;Ministerio de Educación;14
56;Grupo 1;Primaria;Aragón;Hombre;34;11;Matemáticas, Lengua y literatura, Geografía e historia, Educación física;Presencial;Sí;Sí;Sí;Móvil y Tablet para búsquedas, consultas, gamificación, Flipped y para tener una comunicación directa con mis alumnos y mis familias a través de la Plataforma Class Dojo. Gamificar, evaluar, búsqueda y presentación de información... ;Sí, siempre;Sí, siempre;3;3;5;3;3;3;3;5;3;5;3;4;2;1;1;2;4;5;5;5;5;5;5;5;5;5;5;5;Otros ...;Profesor;16
57;Grupo 1;Primaria;Aragón;Hombre;27;8;Matemáticas, Lengua y literatura, Idiomas, Educación plástica, Educación física;Presencial;Sí;Sí;Sí;Edmodo, iDoceo, Google Calendar, Google Drive...;Sí, siempre;Sí, pero solo durante la jornada laboral y el periodo;1;1;4;5;3;2;2;1;1;4;3;5;3;3;2;4;2;5;3;2;4;4;4;5;5;4;5;5;El uso del móvil está prohibido al alumnado;Centro escolar;13
