EP;EA;EM;R1;R2;R3;R4;R5;R6;RE;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11
44;23;15;5;3;3;2;4;4;3.82;4;5;4;4;4;5;5;4;3;4;3
32;9;8;4;1;1;1;3;3;3.55;4;4;4;4;5;5;4;5;4;4;5
25;4;2;5;5;5;5;5;5;5.00;5;5;5;5;5;5;5;5;5;5;5
36;14;15;4;4;4;4;4;4;3.18;5;2;4;4;5;5;5;4;4;5;4
34;12;12;4;3;2;3;4;3;3.09;4;5;4;4;3;3;4;5;5;5;5
39;1;14;5;5;4;4;5;4;5.00;5;4;3;4;4;4;5;5;5;5;5
45;23;11;5;5;5;5;1;1;2.73;5;5;5;5;5;5;5;5;5;5;5
44;25;12;4;5;3;2;2;5;3.73;5;5;5;4;5;5;4;5;5;5;5
30;11;14;5;5;5;5;4;4;3.27;5;5;5;5;5;5;5;5;5;5;5
34;20;16;4;2;2;1;4;4;3.18;4;5;5;3;5;5;5;5;4;4;5
34;28;15;4;4;4;4;4;5;4.27;4;4;5;4;4;4;4;5;4;4;5
26;15;15;5;5;3;1;2;4;3.27;4;3;3;4;4;3;4;5;4;5;4
33;10;16;5;5;5;5;5;5;2.82;5;5;4;5;5;5;5;5;5;5;5
34;9;16;4;4;5;1;4;4;2.09;5;5;5;5;5;5;5;5;5;5;5
24;14;13;5;5;5;2;3;3;3.09;5;5;5;4;3;3;3;5;5;5;5
27;11;16;5;5;5;4;4;5;1.00;4;4;4;4;2;5;3;5;5;5;4
31;16;14;4;4;1;1;5;5;2.73;5;5;5;5;3;4;5;3;4;5;5
42;15;13;5;5;4;2;4;4;3.00;4;4;4;4;4;4;5;5;4;5;4
36;30;14;5;3;3;3;1;4;1.82;4;4;4;4;4;3;4;4;4;4;4
34;11;16;4;2;1;1;2;4;3.55;5;5;5;5;5;5;5;5;5;5;5
27;8;13;5;3;3;2;4;2;2.45;5;3;2;4;4;4;5;5;4;5;5
32;18;15;4;4;3;3;3;4;2.82;4;2;2;4;4;4;4;3;4;4;4
30;14;13;5;4;3;3;4;3;3.36;4;3;5;4;5;5;4;4;5;4;4
29;4;15;5;5;4;4;4;4;4.09;5;5;5;3;4;3;5;5;4;5;5
23;4;17;4;5;4;3;4;5;3.36;4;5;5;5;5;5;5;5;5;5;5
28;11;16;5;2;4;4;3;4;3.82;4;5;4;3;5;5;5;5;5;5;5
33;9;13;5;4;5;2;1;4;3.64;4;3;4;5;1;1;3;4;4;4;4
28;5;15;4;4;4;2;2;3;3.00;4;4;4;4;5;4;4;5;4;5;5
33;9;12;4;4;4;2;4;5;4.00;5;5;5;3;4;4;4;5;5;5;5
28;10;13;4;4;4;4;4;4;2.91;4;4;3;4;4;4;4;4;4;4;4
33;11;14;5;5;5;5;3;4;1.82;3;3;3;3;3;2;3;3;3;3;3
41;1;8;5;4;4;2;2;5;3.27;4;5;5;5;5;5;5;5;5;5;5
32;14;12;4;5;4;2;2;5;3.18;5;5;5;5;2;2;4;5;5;5;5
44;11;14;4;4;2;4;2;4;4.00;4;4;4;4;4;4;4;4;4;4;4
41;14;12;4;4;3;2;4;3;2.73;4;4;4;4;4;4;4;4;4;4;4
34;1;18;5;5;3;2;3;3;3.27;4;3;4;3;4;4;5;4;5;5;5
44;13;12;4;5;4;2;2;3;3.45;4;5;5;5;5;4;4;3;4;4;4
35;16;15;4;4;4;1;4;4;4.55;4;4;4;5;4;4;4;4;4;4;5
31;6;14;5;5;4;4;3;4;2.91;4;3;4;5;3;3;4;4;3;3;3
32;30;15;5;4;4;2;3;4;3.27;5;2;5;5;5;4;5;5;5;5;5
29;8;12;4;2;1;1;2;4;4.00;5;5;5;3;4;4;5;5;5;5;5
26;17;16;5;4;3;2;3;3;2.91;5;5;5;5;5;5;5;5;5;5;5
29;11;16;4;4;3;3;4;4;2.64;4;4;4;3;4;2;4;4;2;4;2
31;1;15;5;5;3;2;4;4;3.82;5;5;5;4;4;4;4;5;5;5;4
28;8;12;4;2;2;4;5;5;4.09;5;4;4;5;4;4;4;4;4;4;4
26;12;12;4;4;4;3;4;3;3.82;4;4;4;3;4;4;4;5;4;3;3
37;14;14;4;4;4;2;2;4;3.18;4;4;4;4;4;4;4;5;5;5;5
26;14;14;5;5;3;3;4;4;3.27;4;3;4;4;4;4;4;4;4;4;4
27;4;16;4;4;4;3;3;3;2.09;4;4;3;3;2;2;4;5;3;4;4
29;6;18;4;4;4;3;4;4;1.55;4;4;4;4;4;4;4;4;4;4;4
28;10;12;5;3;3;1;5;3;1.91;5;5;5;5;5;5;5;5;5;5;5
30;15;15;5;5;4;4;5;4;3.27;4;2;2;3;2;2;3;4;5;5;5
27;8;14;4;4;2;2;4;4;3.82;4;3;4;4;4;5;5;5;4;4;4
34;25;16;5;5;4;3;4;4;3.36;5;4;5;5;3;4;5;5;5;5;5
32;15;13;4;4;4;3;3;4;4.45;4;4;4;4;4;4;4;4;4;4;4
31;15;16;5;4;4;2;4;5;2.91;4;4;4;5;5;3;4;4;4;5;4
24;1;18;4;4;3;2;3;4;2.73;4;4;4;3;4;4;4;3;4;4;4
28;10;15;5;4;5;4;5;4;4.18;5;5;5;4;4;5;5;5;5;5;5
34;16;16;5;4;5;4;2;2;3.36;3;4;4;4;5;5;3;5;3;4;5
32;11;16;5;5;5;4;5;4;4.55;5;5;5;5;5;5;5;5;5;5;5
30;15;15;5;2;3;2;4;5;3.45;4;4;4;4;4;4;4;4;4;4;4
38;13;15;5;5;5;5;4;4;3.82;4;5;4;5;3;3;4;4;4;4;4
27;11;10;3;4;3;3;4;4;3.09;4;4;4;3;4;4;4;4;4;4;4
28;15;15;5;4;3;2;5;5;3.36;5;5;4;3;5;5;5;5;5;5;5
29;10;16;5;4;4;5;3;3;1.73;4;4;3;3;4;4;3;3;3;4;3
39;15;12;2;4;2;1;2;4;3.45;4;5;3;2;5;5;3;4;4;5;5
29;7;14;5;5;5;3;5;5;4.00;5;4;4;5;2;4;5;5;5;4;4
24;0.1;16;4;3;3;4;1;1;3.00;4;5;5;4;5;4;5;5;5;5;5
32;4;12;4;3;3;3;4;5;2.73;4;4;3;3;3;3;3;4;4;4;3
25;4;15;5;5;5;3;5;5;3.18;5;5;5;5;5;5;5;5;5;5;5
31;4;10;4;4;2;2;4;4;4.45;5;5;5;4;4;5;5;5;5;5;5
57;10;15;4;2;3;3;5;5;3.27;5;4;5;3;4;5;5;4;5;5;5
37;17;14;4;2;1;2;2;5;2.55;5;5;3;4;5;5;5;5;3;5;5
37;10;14;2;4;4;1;4;1;1.00;5;5;5;4;4;3;5;5;5;5;5
31;10;14;4;3;5;3;2;4;1.82;4;5;3;4;5;4;4;4;5;4;5
40;30;12;4;3;4;4;4;4;3.55;4;4;4;4;4;4;4;4;4;4;4
32;20;16;5;5;5;2;4;4;3.09;5;5;5;4;5;5;5;5;5;5;4
36;4;15;4;5;5;1;2;3;1.45;4;4;4;5;4;4;5;4;5;4;4
48;16;11;1;1;1;1;5;3;4.09;1;1;1;3;1;1;1;1;1;1;2
29;12;15;5;4;4;4;3;4;3.18;5;4;4;5;4;4;4;5;5;5;5
52;9;16;5;5;5;5;3;3;3.00;4;3;3;4;3;3;3;3;3;3;3
52;22;12;4;4;3;2;3;4;3.09;4;4;4;3;4;2;4;4;4;4;4
34;23;12;4;4;4;4;4;4;5.00;4;5;5;4;5;4;5;5;4;4;5
31;15;14;4;4;3;2;4;5;3.36;5;5;5;4;5;5;5;5;4;4;5
27;4;16;5;5;4;5;5;4;1.00;5;5;4;5;5;4;3;4;2;4;3
36;1;12;4;2;3;2;2;3;4.00;4;4;4;5;4;4;4;4;4;4;4
31;15;14;5;4;4;1;5;5;3.00;4;5;4;3;5;4;4;4;5;4;5
32;6;12;4;2;2;2;4;4;4.18;4;5;5;3;2;4;5;5;5;5;5
33;4;15;4;4;3;4;3;4;2.00;4;4;4;4;4;4;4;4;4;4;4
33;8;14;5;5;5;4;3;4;2.82;4;3;3;4;3;3;3;4;4;3;4
24;8;12;5;4;3;3;3;4;3.45;5;5;4;5;4;4;5;5;5;5;5
29;7;16;5;4;3;2;2;2;2.18;4;4;4;3;4;4;4;4;4;4;4
33;14;14;4;4;4;4;4;4;3.73;4;4;4;4;4;4;4;4;4;4;4
37;14;15;5;5;3;4;3;4;2.91;4;4;4;4;4;3;4;5;4;4;4
34;4;4;5;5;5;4;4;4;2.91;5;5;4;4;5;4;4;5;4;4;4
38;17;15;3;5;4;2;4;4;4.27;5;5;5;2;5;5;5;4;4;5;5
